episode,total_reward,total_return
0,31.993301981128752,1082.1200940566137
1,31.91613232763484,1082.3516030170954
2,39.8899483801797,1058.4301548594608
3,49.42937511531636,1029.8118746540508
4,55.91820077877492,1010.3453976636752
5,56.69080206891522,1008.0275937932543
6,69.3951010494493,969.914696851652
7,80.78724866127595,935.738254016172
8,83.09793491940945,928.8061952417715
9,77.88907977892086,944.4327606632373
10,92.85519808251411,899.5344057524576
11,99.65222284058109,879.1433314782566
12,101.902175036259,872.3934748912229
13,110.40931571088731,846.872052867338
14,110.18501101713628,847.5449669485911
15,108.39477207744494,852.9156837676651
16,109.9507433436811,848.2477699689566
17,121.3753056358546,813.9740830924361
18,121.0968234972097,814.8095295083708
19,126.04660869482905,799.9601739155128
20,133.08871643152088,778.8338507054373
21,104.5944318654947,864.3167044035158
22,125.23130723834038,802.4060782849788
23,134.63905789144337,774.1828263256698
24,136.0855074170977,769.8434777487068
25,133.49630321701989,777.6110903489403
26,131.5963483294472,783.3109550116583
27,134.54382375162095,774.4685287451371
28,134.36828694073483,774.9951391777954
29,126.7781867897138,797.7654396308585
30,130.15202237199992,787.6439328840002
31,131.22721050214022,784.4183684935792
32,137.4431211464107,765.7706365607678
33,138.37538581620902,762.9738425513729
34,133.05856716213748,778.9242985135875
35,138.52196816308424,762.5340955107472
36,134.54752687830478,774.4574193650856
37,139.1003803256899,760.7988590229302
38,139.7079589255154,758.9761232234537
39,128.3257495961152,793.1227512116543
40,138.41580366622657,762.8525890013202
41,136.57728426763788,768.3681471970863
42,143.92860929761082,746.3141721071675
43,141.6772681940347,753.0681954178958
44,140.61816721782088,756.2454983465373
45,132.57368054427207,780.3789583671837
46,141.45998793747276,753.7200361875816
47,142.3263346394524,751.1209960816427
48,146.4909145948477,738.6272562154568
49,146.39964276645333,738.9010717006399
50,146.63713114755228,738.1886065573431
51,146.89163247914985,737.4251025625504
52,147.71710783429444,734.9486764971166
53,146.5684574302286,738.3946277093141
54,144.0384948081337,745.9845155755988
55,141.82923161936924,752.6123051418922
56,150.07318130508065,727.880456084758
57,143.9923344347626,746.1229966957121
58,146.91996208997443,737.3401137300766
59,147.86470158258453,734.5058952522463
60,153.4896002812311,717.6311991563066
61,151.31367095466703,724.1589871359988
62,148.38132509496063,732.956024715118
63,147.17227840609848,736.5831647817045
64,151.01072722906247,725.0678183128125
65,143.35722671542317,748.0283198537304
66,152.28386038076133,721.2484188577159
67,148.04015307873487,733.9795407637953
68,147.11796732991934,736.7460980102419
69,150.29917062679306,727.2024881196207
70,149.66463360004127,729.1060991998761
71,151.88233513804153,722.4529945858753
72,145.74938398133963,740.851848055981
73,150.85018343711272,725.5494496886618
74,153.33095736289397,718.107127911318
75,154.10821208404377,715.7753637478686
76,154.0666831349954,715.8999505950137
77,149.95472445711493,728.2358266286551
78,152.8355719279498,719.5932842161506
79,153.81006138864905,716.6698158340528
80,153.26460965164006,718.3061710450797
81,149.86865698173642,728.4940290547906
82,151.56876732315868,723.3936980305239
83,153.36847662832588,717.9945701150223
84,151.0380014674738,724.9859955975785
85,148.22386465081945,733.4284060475416
86,149.8656276189722,728.5031171430833
87,153.16708957171068,718.5987312848679
88,145.18279101746157,742.5516269476152
89,153.65209712134674,717.1437086359597
90,147.3689169175923,735.993249247223
91,151.8423430826515,722.5729707520454
92,155.31198660144582,712.1640401956624
93,153.3929931507446,717.9210205477661
94,153.90126232244074,716.3962130326777
95,145.41651334241033,741.8504599727689
96,153.61641050782055,717.2507684765383
97,163.535681206733,687.492956379801
98,160.24433586513624,697.3669924045912
99,157.25004189042374,706.3498743287287
