step,td_loss_agent0,td_loss_agent1,td_loss_agent2
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31,18.70575,16.286242,17.90448
32,16.668657,14.501796,14.083954
33,13.801426,12.588344,13.645648
34,12.884789,12.134546,12.831109
35,12.4008465,9.998579,12.023241
36,10.020443,10.284515,9.88323
37,8.614885,9.713341,11.384954
38,7.9437103,9.643482,8.424326
39,6.6441336,7.7370453,7.9986367
40,8.585712,7.082753,7.742857
41,6.9960604,6.0115805,7.587693
42,7.127824,5.781761,8.54018
43,7.5556145,4.8762813,9.172991
44,6.381069,4.684176,7.3047028
45,6.347423,3.4234915,5.247694
46,5.9524293,3.331749,7.6599545
47,4.185937,2.0711434,5.1865196
48,6.144987,4.220607,5.3562107
49,5.8889484,3.4719865,7.4187603
50,4.409479,2.9591074,6.7096596
51,5.1483564,4.269163,5.215522
52,4.3993945,4.635956,5.3536053
53,3.8110616,1.7672623,3.3441439
54,2.9192228,2.9201128,4.447063
55,4.8132668,2.460279,4.383665
56,5.1670213,3.7659793,4.2928505
57,3.583012,3.5740643,5.6179886
58,4.21297,2.4130585,2.9561734
59,3.8660862,3.1014025,3.889831
60,3.8701239,2.3967338,4.045898
61,3.6662087,1.4608176,3.3294423
62,3.1938405,2.183076,3.8017793
63,3.5516486,1.8381208,4.9278817
64,4.110834,2.0293422,4.357752
65,3.6375117,1.72336,2.6327033
66,3.0588222,2.391286,2.8819387
67,2.4608634,1.6333051,3.9167488
68,3.5089746,1.3860538,3.261453
69,3.4970827,1.8673224,2.833469
70,2.8028488,2.1596532,4.1494474
71,2.0336084,1.4631308,2.5417643
72,2.5226877,1.0945866,3.042293
73,2.3131106,1.0782946,3.1167214
74,3.3894215,0.71005267,3.4270244
75,3.47544,0.97732365,1.7563698
76,2.8950768,1.9055775,1.3963537
77,2.030969,1.4145825,2.4632792
78,1.9388359,0.98383343,3.1265388
79,3.2750945,1.9021966,2.312904
80,1.46754,1.6111588,2.8119807
81,2.1200686,1.1551945,2.6945665
82,2.525032,0.76152277,2.0934262
83,1.7989156,0.8568326,2.399027
84,2.1335816,1.4592328,3.0624685
85,2.4838972,1.1939625,2.6252766
86,2.5364795,0.5718691,2.3594656
87,1.9551107,0.94448435,0.9789492
88,0.9513158,1.3113433,2.1327298
89,1.3082656,0.77737,1.5270842
90,1.2310729,1.0941762,2.0770197
91,1.9228804,0.6118727,2.5467825
92,1.3490797,1.0130082,2.3592916
93,1.8650374,0.6843376,1.7104893
94,1.9178069,0.9124709,1.8261503
95,1.4622021,1.2375026,1.6797473
96,1.2905691,1.5183091,1.0166302
97,2.4235864,2.7645197,4.0518684
98,2.1206799,0.5147977,1.8398185
99,2.7535076,1.6274023,1.769575
100,0.94165,1.7386028,1.6214921
