episode,total_reward,total_return
0,32.42413438251242,1080.8275968524626
1,33.40722118737176,1077.8783364378846
2,34.307167218998075,1075.1784983430057
3,47.04001771006733,1036.979946869798
4,48.29942311486229,1033.201730655413
5,61.5171596291475,993.5485211125574
6,74.98205990064889,953.1538202980532
7,71.56304504070431,963.410864877887
8,79.02551547251642,941.0234535824507
9,80.81355791073292,935.6593262678011
10,91.6446509915404,903.1660470253787
11,98.23093513399363,883.407194598019
12,107.4546588677913,855.736023396626
13,103.63722895178944,867.1883131446316
14,108.16213808907196,853.613585732784
15,111.19385165534914,844.5184450339525
16,120.4110271143727,816.8669186568818
17,125.28345572855324,802.2496328143402
18,116.89581838296726,827.4125448510981
19,127.63387881452218,795.1983635564334
20,122.26302251685411,811.3109324494376
21,125.03841764107347,802.9847470767795
22,134.11142937652767,775.7657118704169
23,134.95331252599135,773.2400624220259
24,131.55005913088098,783.449822607357
25,127.53049279330298,795.508521620091
26,132.29709126520902,781.2087262043729
27,135.25308335246518,772.3407499426044
28,149.45992256281897,729.720232311543
29,132.9864941337146,779.1405175988561
30,142.34278781013563,751.071636569593
31,149.71145000401884,728.9656499879434
32,144.76224323082715,743.8132703075185
33,156.43287032749504,708.8013890175148
34,143.10816620104015,748.7755013968795
35,145.4128126502037,741.8615620493888
36,147.74254427663982,734.8723671700805
37,149.79000466223806,728.7299860132857
38,152.97564070299268,719.1730778910219
39,147.38193209003657,735.9542037298902
40,146.49927004706115,738.6021898588165
41,150.10951376194134,727.7714587141759
42,162.4711641278118,690.6865076165645
43,161.4602135811001,693.7193592566996
44,165.98367402516305,680.1489779245107
45,154.64374182047322,714.1687745385802
46,157.37417720258236,705.9774683922528
47,173.19515947345644,658.5145215796306
48,164.01788236107677,686.0463529167696
49,165.9028564300388,680.3914307098835
50,154.84421122120693,713.5673663363791
51,169.15007657557726,670.6497702732681
52,165.58910791296512,681.3326762611046
53,175.8951151985675,650.4146544042974
54,164.12950946576893,685.7114716026931
55,176.54302803939208,648.4709158818237
56,171.2288932139054,664.4133203582837
57,168.88234222400934,671.4529733279719
58,167.01375051401556,677.0587484579532
59,166.285668971017,679.2429930869489
60,164.31372528662905,685.1588241401128
61,168.15537382708862,673.633878518734
62,177.31506955483928,646.1547913354821
63,171.1685354555957,664.5943936332128
64,162.50585549371317,690.5824335188604
65,171.8234229553491,662.6297311339526
66,169.4825357021764,669.6523928934707
67,170.82670840853825,665.6198747743852
68,168.8657395625487,671.5027813123538
69,177.81613659486175,644.6515902154147
70,175.14053409453481,652.6783977163955
71,175.37955502420664,651.96133492738
72,172.19655709154904,661.5103287253528
73,170.58920420287177,666.3323873913846
74,176.67388662416488,648.0783401275053
75,177.59372044866905,645.3188386539928
76,176.6462214468047,648.1613356595858
77,172.0056104408577,662.0831686774268
78,182.4491826123558,630.7524521629325
79,175.81464635534212,650.6560609339735
80,178.9470649450086,641.2588051649741
81,178.6372799887322,642.1881600338033
82,184.8534358800389,623.5396923598832
83,180.27487626858056,637.2753711942582
84,182.37350025540218,630.9794992337934
85,174.75732850609347,653.8280144817195
86,174.21438289713115,655.4568513086065
87,180.95644772192463,635.230656834226
88,182.8764125625603,629.470762312319
89,179.38386206934229,639.948413791973
90,184.38500943221152,624.9449717033654
91,180.07779353950173,637.8666193814947
92,187.19823088729754,616.5053073381073
93,184.5626610252075,624.4120169243774
94,183.01643042545766,629.0507087236269
95,189.90054242592305,608.3983727222308
96,185.02186471689492,623.0344058493151
97,190.37121304217726,606.9863608734681
98,189.0059657706879,611.0821026879362
99,181.49520805990323,633.6143758202902
