step,td_loss_agent0,td_loss_agent1,td_loss_agent2
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31,19.957008,19.54113,21.13065
32,15.232021,17.244059,18.443222
33,13.95523,14.621894,15.317815
34,15.217148,14.85608,13.274613
35,13.969592,13.279498,13.500797
36,13.072956,11.253788,11.264671
37,11.887781,10.362846,12.234226
38,11.877062,9.293809,10.891333
39,9.952433,7.742852,9.812913
40,10.789392,8.223226,8.169889
41,11.714616,6.2381716,6.7721896
42,11.309366,6.779662,6.7301745
43,8.743872,5.6366405,7.38556
44,10.460402,6.265853,6.3091545
45,6.075819,6.0195265,6.336302
46,8.205193,5.3012447,3.9236772
47,5.3551955,5.3584456,4.991909
48,5.151392,5.700505,5.2442074
49,5.534501,4.483053,5.4319124
50,6.7137394,4.782645,5.169749
51,5.5051003,5.7396955,4.9085245
52,5.564311,6.1121845,4.320944
53,5.467459,3.842833,3.2443075
54,4.597336,3.498589,3.740798
55,4.0426216,4.497122,4.005249
56,3.6362436,3.7756863,2.7179086
57,2.8755238,3.4204898,2.507606
58,2.5579553,3.5962858,3.5364327
59,2.3573427,1.8029646,3.016189
60,3.3568287,3.3164759,2.4887276
61,3.781705,3.343502,2.9684482
62,3.0828924,3.7856162,2.841808
63,3.2721949,1.6549755,2.60851
64,3.0341606,2.834989,2.163783
65,2.9250088,3.4107757,3.232956
66,1.3609354,2.7606215,2.0011635
67,2.4522967,2.7405977,2.4380398
68,1.1840693,2.187405,2.3786979
69,1.9075606,2.5413394,2.204062
70,2.231439,3.5483088,1.6428527
71,2.5062425,2.9337125,1.764992
72,1.140655,3.4191215,2.0175834
73,1.6791193,3.20767,1.4741683
74,2.5052013,2.679894,1.711214
75,1.4270494,2.72803,1.5852044
76,1.301662,1.3041613,1.8278201
77,2.4031858,2.2869332,1.1952984
78,2.7664964,1.7127169,1.3760884
79,1.5645726,1.5146608,2.251573
80,2.4796133,2.322047,1.0582405
81,1.8619885,1.9953383,1.7584603
82,1.59001,1.4571095,1.4798745
83,2.538396,1.5795355,1.263231
84,2.6412356,0.8730448,1.9487128
85,1.396174,1.4948517,1.2241786
86,1.2646015,1.4898114,1.7380805
87,1.7284751,1.4591885,0.5596466
88,1.9742051,1.4226623,0.95895755
89,2.178963,0.9105481,0.8110056
90,0.7615307,2.1487844,0.7641119
91,0.83449554,1.3304482,2.0946581
92,0.9895785,1.042034,1.4493054
93,2.2363756,2.3049526,1.9044821
94,0.6536442,0.84083605,1.1320856
95,2.1588879,0.8059182,0.9845304
96,1.7705562,1.7857115,0.867693
97,1.8002713,2.19447,1.2966069
98,2.0619087,1.1312773,0.46601325
99,1.6835297,1.3250899,1.1126641
100,2.1051745,1.067951,2.0537858
101,1.2089417,1.9628537,1.4235628
