episode,total_reward,total_return
0,29.13599253958091,1090.6920223812572
1,32.95183372264728,1079.244498832058
2,43.55604533478618,1047.4318639956414
3,48.57001742068678,1032.3899477379396
4,55.975029334425926,1010.1749119967221
5,73.64691788330674,957.1592463500797
6,81.19659978570417,934.5102006428874
7,88.95531164715067,911.2340650585479
8,90.29797721747309,907.2060683475806
9,94.35225850436836,895.0432244868948
10,96.0469681629911,889.9590955110266
11,98.94576555304229,881.262703340873
12,105.25468283193186,862.3359515042043
13,114.82149558141828,833.6355132557451
14,103.91844087932259,866.3446773620321
15,114.84219526313245,833.5734142106026
16,119.07955174846575,820.8613447546027
17,116.9845377295278,827.1463868114165
18,125.29037105478346,802.2288868356495
19,127.09100550133735,796.8269834959879
20,130.08067356050014,787.8579793184995
21,130.24757075030357,787.3572877490892
22,133.66905195079744,777.0928441476076
23,138.53082191664726,762.5075342500581
24,139.16671660915017,760.5998501725494
25,138.80430692713708,761.6870792185887
26,133.30241736164317,778.1927479150704
27,140.77265133243054,755.7820460027083
28,146.70448485948145,737.9865454215555
29,143.39287931658328,747.9213620502501
30,143.6715214648284,747.0854356055147
31,147.1183327944018,736.7450016167945
32,147.4077738020569,735.8766785938292
33,145.63028852595016,741.2091344221494
34,147.63227691035718,735.2031692689284
35,154.72002473799512,713.9399257860146
36,158.68876904342324,702.0336928697302
37,152.40802108729258,720.8759367381222
38,157.9517225068994,704.2448324793017
39,147.39570410642773,735.9128876807167
40,163.16917179711163,688.592484608665
41,152.69418222550303,720.0174533234908
42,166.17721220850945,679.5683633744716
43,163.22996146790683,688.4101155962794
44,162.73103570425883,689.9068928872234
45,172.34686991851777,661.0593902444466
46,160.41626684879884,696.8511994536034
47,172.88819244224578,659.4354226732626
48,171.9104837263003,662.368548821099
49,160.70321466214955,695.9903560135513
50,164.05113505292684,685.9465948412194
51,168.76408108649775,671.8077567405066
52,170.77037549158558,665.7888735252432
53,173.24241298390552,658.3727610482833
54,167.66786206234246,675.0964138129725
55,173.70568336034194,656.9829499189741
56,172.70019742054865,659.999407738354
57,174.77042519301176,653.7887244209646
58,173.44476346904412,657.7657095928676
59,172.45461132191122,660.7361660342663
60,172.09613739605993,661.8115878118201
61,169.98694803472608,668.1391558958217
62,165.99945104075596,680.101646877732
63,175.36258716974407,652.0122384907677
64,176.07475161645561,649.8757451506331
65,177.12964493501931,646.711065194942
66,178.98583116289228,641.1425065113231
67,179.70960213337094,638.9711935998871
68,176.40486606583,648.8854018025099
69,181.69606058858335,633.0118182342499
70,181.8449765443802,632.5650703668593
71,180.6888229548931,636.0335311353206
72,176.1891356566921,649.5325930299236
73,182.43851914908737,630.7844425527378
74,179.82519560074434,638.6244131977669
75,183.4640051452443,627.707984564267
76,182.3904753504321,630.9285739487036
77,185.71647300338373,620.9505809898487
78,180.75774960033596,635.826751198992
79,185.26285901712254,622.3114229486323
80,184.07453987933695,625.876380361989
81,184.71476668398827,623.9556999480351
82,184.95695677120239,623.2291296863928
83,188.99732074188069,611.1080377743579
84,185.13438244350255,622.6968526694923
85,177.98090290743858,644.1572912776842
86,187.22585351858288,616.4224394442513
87,184.51412494061515,624.5576251781545
88,185.32945786882192,622.1116263935342
89,185.30655316310003,622.1803405106998
90,184.57647778792307,624.3705666362307
91,187.35807191487402,616.0257842553779
92,183.5204001897946,627.5387994306161
93,186.4285783455707,618.8142649632878
94,191.81056455895305,602.6683063231408
95,195.32417255826294,592.1274823252111
96,185.3590861321427,622.0227416035718
97,192.60632654838264,600.281020354852
98,182.6773626068607,630.0679121794178
99,185.51834561955184,621.5449631413444
