step,td_loss_agent0,td_loss_agent1,td_loss_agent2,td_loss_agent3,td_loss_agent4
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31,20.894718,22.568636,21.539158,21.930267,18.193134
32,18.768457,19.965076,18.272821,18.670155,16.156057
33,17.29113,17.854603,16.172491,15.611274,14.897925
34,15.732822,15.553303,14.450103,17.966755,13.615999
35,14.21825,15.426701,12.722637,15.656403,12.182198
36,14.647865,14.817581,13.550053,14.17003,11.410782
37,12.884467,14.033602,8.794308,14.439718,10.948178
38,11.17824,11.921315,10.173831,12.904188,9.064589
39,9.614603,12.538412,8.511261,10.411727,6.484462
40,10.241105,8.971977,7.956366,8.706213,7.647129
41,7.334939,9.538477,6.1187577,8.0796995,6.2395377
42,7.28409,7.1780286,7.481458,10.7747965,7.460927
43,8.56951,6.7627254,4.219555,5.751748,7.4317536
44,7.0703025,9.34285,7.630269,8.48534,6.907092
45,6.675514,8.105662,5.644409,7.7652197,6.9192867
46,4.8674254,8.749447,5.2845592,8.514334,7.379239
47,3.7234678,6.4967833,3.825462,6.264903,5.478509
48,5.6156044,8.055489,6.247964,9.329504,5.8116736
49,3.9615102,5.015793,6.799983,7.9711223,5.5465345
50,4.9043365,5.645741,6.461546,7.5448065,6.1469994
51,3.4304824,6.757964,4.984668,6.8031874,4.8831844
52,3.7848773,3.3853989,3.6364775,6.882989,5.947193
53,4.8794937,6.380929,4.059524,6.7589216,6.2823887
54,3.9474406,4.1040964,5.1402693,7.2981496,4.8872137
55,3.778872,3.429541,3.2888436,8.054805,3.4442513
56,4.512832,5.976262,2.6277063,7.2237825,3.895983
57,3.433994,2.9990318,4.754173,7.2862864,4.2079105
58,4.1818953,4.072626,2.9478776,4.4955726,2.244168
59,3.1492205,4.5649757,2.94068,6.525915,4.4795637
60,3.2829802,3.2526035,2.8931513,5.3305154,4.0834827
61,4.1730375,4.362655,3.447537,3.8658648,4.5412397
62,2.6449013,6.702059,1.5755818,3.8852112,3.2751665
63,3.3668966,4.877247,2.415019,6.5885267,4.1057158
64,2.1704383,3.8788092,2.257559,4.713553,3.7569609
65,1.6169505,4.3897004,2.1764603,3.7398915,3.5050015
66,2.2361405,4.5981655,1.7204633,3.782073,2.2396474
67,2.6019275,3.4503236,2.3888755,3.8231122,2.5003452
68,2.2572017,3.85688,1.8253895,4.6164036,2.6625147
69,1.9630842,3.171153,1.7264905,2.9627228,3.1025214
70,1.6047869,3.483041,2.8357003,2.3083382,2.4652438
71,2.009807,3.992748,1.4808161,3.3556979,3.4369125
72,2.3989267,2.0589764,1.553486,3.1711054,2.2486453
73,1.986605,2.495309,1.5162851,2.7549548,2.0502963
74,1.497522,4.474516,0.7806411,2.6800785,3.4547052
75,1.7288592,2.944639,1.5394102,4.236444,2.641383
