episode,total_reward,total_return
0,44.294344027061015,1742.028279864695
1,50.55946943862364,1710.7026528068818
2,50.6691503925249,1710.1542480373755
3,63.86058659106493,1644.1970670446754
4,65.14301212783903,1637.7849393608049
5,63.518954888917506,1645.9052255554125
6,76.98632590472698,1578.568370476365
7,98.44130371371284,1471.2934814314358
8,108.56590481800959,1420.670475909952
9,111.99534095870331,1403.5232952064835
10,116.20797677803785,1382.4601161098108
11,115.67956628184766,1385.1021685907617
12,114.22354472801089,1392.3822763599455
13,116.84954432398081,1379.252278380096
14,107.03583583887666,1428.3208208056167
15,113.69720051530749,1395.0139974234626
16,130.2798427687958,1312.100786156021
17,131.52827899018303,1305.8586050490849
18,141.0404294920154,1258.297852539923
19,152.29278959846124,1202.0360520076938
20,151.26650069467723,1207.1674965266138
21,159.28678982518613,1167.0660508740693
22,156.9470761329867,1178.7646193350665
23,162.41821531020105,1151.4089234489948
24,150.1777385091409,1212.6113074542955
25,169.31382348760962,1116.9308825619519
26,154.04905730858445,1193.2547134570777
27,171.28044274356216,1107.0977862821892
28,150.80860903020948,1209.4569548489526
29,168.50870456267148,1120.9564771866426
30,170.2701514577493,1112.1492427112535
31,174.04877382609993,1093.2561308695003
32,162.90605129301548,1148.9697435349226
33,172.13719067163765,1102.8140466418117
34,166.88157625496387,1129.0921187251806
35,171.14885146729648,1107.7557426635176
36,173.56036995723844,1095.6981502138078
37,176.57364277448505,1080.6317861275747
38,167.50288484897465,1125.9855757551268
39,171.31062743300572,1106.9468628349714
40,168.15789974108338,1122.710501294583
41,172.92587977927178,1098.870601103641
42,180.7574413549155,1059.7127932254225
43,177.21249710023403,1077.4375144988298
44,178.31071084178984,1071.9464457910508
45,174.56070470623672,1090.6964764688164
46,181.35868583247066,1056.7065708376467
47,179.3663820894435,1066.6680895527825
48,182.12787299975753,1052.8606350012124
49,181.90874355938286,1053.9562822030857
50,183.8610326591879,1044.1948367040604
51,181.42000810056925,1056.3999594971538
52,183.19484744034708,1047.5257627982646
53,178.68113607820123,1070.0943196089938
54,181.78013844788074,1054.5993077605963
55,188.3016761513427,1021.9916192432866
56,182.73200297821313,1049.8399851089343
57,184.0300181657076,1043.349909171462
58,176.258671047166,1082.20664476417
59,182.19221592880785,1052.5389203559607
60,183.25901873782277,1047.2049063108861
61,177.06570427212864,1078.1714786393568
62,173.11060461495072,1097.9469769252464
63,185.00464727077633,1038.4767636461183
64,190.0453219320625,1013.2733903396875
65,185.09803960844874,1038.0098019577563
66,187.9815366519615,1023.5923167401925
67,181.97165828198195,1053.6417085900903
68,184.46439138799906,1041.1780430600047
69,186.25585960038006,1032.2207019980997
70,184.66226753219962,1040.188662339002
71,187.73572853393853,1024.8213573303074
72,185.83097952324897,1034.3451023837551
73,179.93554545752704,1063.8222727123648
74,191.99620580952615,1003.5189709523693
75,192.5437963483855,1000.7810182580724
76,187.08371280133724,1028.0814359933138
77,193.59494465589523,995.5252767205238
78,197.79281092248857,974.5359453875571
79,192.18620893359184,1002.5689553320408
80,194.12378464639187,992.8810767680407
81,186.019436923787,1033.402815381065
82,191.85559248365462,1004.2220375817269
83,190.94666549097747,1008.7666725451127
84,189.1643836395815,1017.6780818020925
85,189.50599317532033,1015.9700341233984
86,193.7955372100696,994.522313949652
87,198.32777439896017,971.8611280051991
88,191.0349997957237,1008.3250010213815
89,191.95025462284684,1003.7487268857658
90,193.3024231423624,996.9878842881881
91,186.71674845926464,1029.9162577036768
92,189.979799490422,1013.60100254789
93,193.76613808050752,994.6693095974624
94,191.58835816476494,1005.5582091761753
95,200.26233460567892,962.1883269716054
96,196.69970431365073,980.0014784317464
97,193.35277248173952,996.7361375913024
98,195.26916732266545,987.1541633866727
99,191.8519353158772,1004.240323420614
