step,td_loss_agent0,td_loss_agent1,td_loss_agent2,td_loss_agent3,td_loss_agent4
131,1.4327464,1.6703008,1.3798599,2.009737,0.7629535
132,1.6999772,0.5549574,1.1445267,1.162444,1.4903584
133,0.95607877,0.8590542,0.7775225,1.1739202,0.92717814
134,1.8464339,0.6299937,0.73865306,1.6004272,0.6727901
135,0.7778578,0.65494174,0.9240296,1.2991929,0.61076164
136,2.0561376,0.82063097,1.1911547,1.2003924,0.59116715
137,1.5321417,0.7265805,0.750468,1.3157074,0.701561
138,1.5884113,0.6624372,0.5451615,0.81062824,0.7969791
139,1.1114986,2.0374758,0.43326676,0.62720674,0.58948123
140,1.2776405,0.3668558,0.22487208,0.54369617,0.87159264
141,0.8864373,0.43823016,0.58232045,1.3977132,1.0278099
142,1.5566988,1.3122566,0.60299444,0.49083406,0.7022798
143,0.72956324,1.0971386,0.28645724,0.9478433,0.49643487
144,1.1917531,1.6166416,0.5887325,0.86816454,0.83845806
145,1.2520742,0.3650657,0.4461554,0.71396834,0.6800566
146,0.85130894,1.325452,0.53689075,1.2507625,0.356928
147,0.8371449,0.5232104,0.35485458,1.0884871,0.3367531
148,1.2807577,1.863638,0.35742295,0.6845046,0.7085877
149,0.7541059,1.2475736,0.4544182,0.8172848,0.6191592
150,1.2425253,0.9531454,0.7360015,0.9051783,0.40529352
151,1.0859054,1.2495658,0.7561642,0.81982255,0.5311231
152,1.0190377,1.2328045,0.5614148,0.56493473,0.4017185
153,1.0203446,0.7793458,0.6971388,0.41560066,0.29804814
154,0.25378877,0.69289875,0.48260885,0.673847,0.51720214
155,1.1066393,0.90506244,0.30158606,0.77612126,0.25684986
156,0.61073244,0.91143405,0.7063124,0.28723788,0.73488754
157,0.6955044,0.48844427,0.69077706,0.8539255,0.36249173
158,1.2948923,1.1699202,0.59078157,0.8675108,0.24242604
159,1.1513237,1.058201,0.53287375,1.3606341,0.5401828
160,0.8116022,0.98118514,0.26132175,0.97311723,0.16192037
161,1.1038557,0.40412068,0.59427047,0.87044156,0.40452218
162,0.8563549,0.63297814,0.45406514,0.6574217,0.39924768
163,0.7122376,0.81153995,0.30158973,0.9130534,0.2878631
164,0.6458668,0.9054663,0.44253865,1.0897741,0.72186494
165,0.83834195,0.8470742,0.099633105,1.1366141,0.29577115
166,1.0735725,0.9651398,0.21285981,0.34679785,0.19123566
167,0.5128783,0.59711546,0.5145272,0.3978865,0.21861753
168,0.5159926,0.87319076,0.36260694,0.2988664,0.08958927
169,0.82108265,0.5222944,0.18618143,0.22555804,0.27615052
170,0.5413887,0.98544985,0.30849582,0.9121866,0.25636753
171,0.55668056,1.0131798,0.26518518,0.41017142,0.87317514
172,0.4841956,0.8783085,0.3298236,0.39337778,0.23185176
173,0.45947793,0.5778148,0.45962805,0.41807306,0.19942574
174,0.50252223,0.96420443,0.2984085,0.7187011,0.28973025
175,0.756341,0.435334,0.29497665,0.27726316,0.29469365
176,0.68969065,0.58509386,0.20000184,0.4279672,0.3308164
177,0.605336,0.68897706,0.32481247,0.22494966,0.47988188
178,0.4956582,0.5898759,0.19157898,0.4822056,0.3255415
179,0.34765872,0.45514992,0.17095849,0.27824825,0.44628292
180,0.45943063,0.45467988,0.14077538,0.20967466,0.23571123
181,0.59974205,0.33025086,0.15344036,0.4393787,0.24083397
182,0.17049035,0.49379694,0.19252765,0.4877086,0.3752852
183,0.18197672,0.52727234,0.07492629,0.6314094,0.24750115
184,0.30168027,0.33315545,0.116878316,0.35169375,0.28371558
185,0.29945993,0.60038805,0.1386173,0.5199276,0.35883403
186,0.39359438,0.19141942,0.08375864,0.33820727,0.27338618
187,0.40232027,0.3902431,0.13691334,0.40234107,0.3684209
188,0.32526144,0.241319,0.1448169,0.62883204,0.3114406
189,0.29762724,0.40356973,0.071806036,0.2828808,0.23229879
190,0.21027501,0.61598134,0.11013157,0.38990548,0.12914097
191,0.5127183,0.47009358,0.09831903,0.32942128,0.26256973
192,0.23032194,0.31593964,0.06016218,0.38324985,0.39744955
193,0.37846094,0.48883644,0.0699362,0.3853671,0.2496475
194,0.15682851,0.30609888,0.03880276,0.13231777,0.3595631
195,0.32927978,0.533798,0.078194745,0.27946907,0.31990147
196,0.3333403,0.2482883,0.052395046,0.3606403,0.16292818
197,0.33617422,0.21613373,0.05114153,0.44142568,0.2560923
198,0.06357694,0.26059645,0.041211534,0.23585251,0.13619143
199,0.21594039,0.36617047,0.05541756,0.28799692,0.20578021
200,0.26082885,0.11913796,0.047968693,0.33104953,0.33831638
201,0.2685004,0.19886887,0.031825125,0.08301215,0.18186265
202,0.18006314,0.054959703,0.03329637,0.25544617,0.1309086
203,0.29786938,0.24474065,0.021614473,0.2528504,0.31995955
204,0.25601873,0.5260385,0.033477843,0.2717848,0.26524538
205,0.42830595,0.41544902,0.021740459,0.2040988,0.17724645
206,0.20578739,0.21569651,0.023792885,0.2595353,0.16439816
207,0.34273148,0.2986009,0.023704216,0.21409053,0.12195459
208,0.3024588,0.29371217,0.022726944,0.15731233,0.11682589
209,0.15380964,0.25322294,0.017132908,0.30579194,0.09907863
210,0.26021343,0.33171892,0.021113733,0.24240196,0.119108394
211,0.22117947,0.29081914,0.015934125,0.17388919,0.16016638
212,0.1183415,0.19279034,0.011682594,0.087014176,0.13986872
213,0.17924733,0.27381223,0.01633409,0.2046471,0.14639485
214,0.10113768,0.34965226,0.014652213,0.17481437,0.12388258
215,0.33487785,0.22077003,0.007986539,0.15425861,0.102652356
216,0.20542079,0.13714847,0.0071605183,0.10094401,0.108276546
217,0.1240063,0.41333604,0.010449592,0.13384701,0.076987594
218,0.23175836,0.24370039,0.012314949,0.15237674,0.07619853
219,0.12827244,0.34920758,0.022054248,0.15069419,0.09861292
220,0.051165156,0.13999215,0.012369888,0.14041184,0.15773262
221,0.14908315,0.12244119,0.006292275,0.17609014,0.16170347
222,0.11122851,0.16865039,0.008153686,0.119347826,0.112081274
223,0.16259345,0.20729917,0.008073604,0.08116831,0.074965954
224,0.08543099,0.19336101,0.0073914225,0.19637552,0.11829381
225,0.2611632,0.098538235,0.0057418114,0.052688703,0.06435411
226,0.19806604,0.115464166,0.009462913,0.058610987,0.16559057
227,0.2041246,0.12629984,0.008291372,0.0701886,0.09264393
228,0.06360854,0.15939492,0.0050194506,0.076056756,0.21630765
229,0.072424464,0.15865496,0.005900787,0.14434332,0.057818227
230,0.11660531,0.19632126,0.008590412,0.07882957,0.07319484
231,0.06337051,0.15763073,0.008185743,0.090129696,0.09499937
232,0.14326173,0.07122,0.007229729,0.057526417,0.064161286
233,0.094196685,0.09730536,0.0048964657,0.053887583,0.07433322
234,0.069849074,0.1721198,0.004981565,0.05857624,0.07488057
235,0.113878205,0.08780393,0.0077576237,0.11700511,0.19447136
236,0.13327144,0.18099912,0.0038191522,0.0830151,0.06414308
237,0.08575738,0.076673284,0.006406998,0.083586134,0.09011134
238,0.047136456,0.20841077,0.0064339247,0.07259618,0.10026488
239,0.04794039,0.22148038,0.005415098,0.072155096,0.12027492
240,0.115469046,0.13839853,0.0032765602,0.10145052,0.043224886
241,0.15025102,0.12129497,0.009713566,0.04073846,0.1364943
242,0.0701151,0.06423189,0.0043986593,0.05523468,0.0908409
243,0.04988034,0.15019414,0.006113598,0.04979639,0.077331774
244,0.07805117,0.15800376,0.0072646663,0.07134499,0.04171612
245,0.070943445,0.1488752,0.0060916385,0.047149174,0.09780391
246,0.091252,0.11420715,0.0052051246,0.0499914,0.065636314
247,0.052945435,0.120347045,0.0036947317,0.05554642,0.04853808
248,0.055896632,0.06456627,0.0073752813,0.03442155,0.061578862
249,0.05595103,0.07653188,0.007787302,0.039653413,0.03132703
250,0.0513978,0.0791278,0.0046156314,0.04113367,0.052013624
251,0.018693797,0.034740467,0.009101267,0.02191529,0.036224723
252,0.024844516,0.04192046,0.0059800325,0.04404376,0.084766686
253,0.05617477,0.06977658,0.00483266,0.04188034,0.047123715
254,0.021980036,0.08681558,0.006563835,0.014118842,0.03766191
255,0.02118101,0.064869896,0.006444604,0.026653802,0.07272763
256,0.04385145,0.05182555,0.008734155,0.024992373,0.03496953
257,0.020397969,0.040247783,0.005543508,0.017487986,0.039886903
258,0.031270243,0.06964244,0.0043161106,0.023947276,0.030359484
259,0.02105517,0.05818437,0.004939481,0.02101262,0.03074727
260,0.018515227,0.04610338,0.00486752,0.01230976,0.03449331
261,0.021783037,0.047211826,0.005744339,0.01282094,0.023470175
262,0.019823559,0.04094105,0.0062110554,0.013590466,0.017815895
263,0.023458134,0.04387612,0.004191394,0.0149774365,0.03803996
264,0.027189534,0.026587496,0.004054687,0.024411708,0.023714758
265,0.018983534,0.03585877,0.0071670944,0.009697944,0.027485378
266,0.012190584,0.05369258,0.008292085,0.0055984706,0.022104912
267,0.012956381,0.040640578,0.0032986216,0.009295585,0.04839226
268,0.0140306,0.03088677,0.006251691,0.0054603834,0.032135613
269,0.015347526,0.031005966,0.00612874,0.0061350483,0.017321823
270,0.010879235,0.033419095,0.0063866037,0.006519718,0.023036916
271,0.01398711,0.018625416,0.0047554336,0.0062576914,0.029340096
272,0.02785412,0.037549276,0.00548704,0.009501454,0.027882528
273,0.03381481,0.01903794,0.008134736,0.0064265523,0.012333101
274,0.0111265145,0.025345031,0.0033460376,0.00805494,0.027878918
275,0.013463229,0.022629634,0.004701622,0.0076960693,0.026275296
276,0.011325004,0.025594179,0.008559078,0.004218376,0.025152158
277,0.012785945,0.018376458,0.00864597,0.007487895,0.013293344
278,0.010319483,0.029025244,0.007522187,0.004296166,0.018251864
279,0.013762509,0.009352885,0.0049895593,0.003947747,0.014779845
280,0.0084359255,0.020075897,0.007415819,0.0050128456,0.015797984
281,0.009328356,0.021399628,0.005736012,0.006445846,0.016414523
282,0.009176815,0.013272159,0.0051958,0.00811987,0.012277932
283,0.014763606,0.010831362,0.006222494,0.0025214322,0.015712086
284,0.008451868,0.017763777,0.0049084066,0.0097671645,0.025474349
285,0.021548338,0.015585797,0.005077381,0.0040226756,0.028305188
286,0.019889554,0.010712411,0.0031024932,0.0023735445,0.017261364
287,0.015534006,0.023512114,0.0031256485,0.0043528643,0.021676615
288,0.0107872505,0.014122469,0.009118287,0.0047697355,0.013862927
289,0.013112635,0.01514343,0.005585743,0.0032401208,0.02075367
290,0.011222568,0.010864366,0.004346504,0.005254411,0.014585432
291,0.011239355,0.0076685464,0.0015250201,0.002509342,0.017461708
292,0.0086820815,0.011391962,0.005956984,0.0059421323,0.013504078
293,0.0083516855,0.009005522,0.0041003637,0.0044204416,0.0075147906
294,0.009453226,0.008523721,0.0042284047,0.0043179477,0.015101036
295,0.00890334,0.0049872,0.0065456107,0.0063414723,0.0117863035
296,0.0120222,0.012181147,0.004174352,0.005039152,0.015402298
297,0.006548949,0.010420552,0.0039731706,0.002875139,0.013343411
298,0.0045550494,0.008801177,0.0035884506,0.005785243,0.011122698
299,0.0147797745,0.008548835,0.0050305887,0.0044927103,0.013552088
300,0.01246571,0.009855004,0.00550446,0.006197974,0.007977075
301,0.0069258763,0.008073611,0.0048248107,0.0035654067,0.00586945
302,0.0076488783,0.008884003,0.0049191024,0.006291542,0.0097690765
303,0.009173372,0.007001496,0.006172631,0.004162105,0.0076073175
304,0.0045207017,0.008857159,0.004701595,0.0026625474,0.010169864
305,0.008065559,0.007169283,0.003086672,0.007330067,0.0071798917
306,0.008128076,0.0038433878,0.006224997,0.005580606,0.013886116
307,0.0077889324,0.0049951402,0.006381672,0.005447821,0.007045663
308,0.008138342,0.004494819,0.005268815,0.004421044,0.0067578927
309,0.005003646,0.0063634776,0.0041351276,0.005272719,0.011202715
310,0.00657558,0.0063345903,0.007058958,0.0024922858,0.008325728
311,0.0056476747,0.005958923,0.004027468,0.0034955447,0.005839886
312,0.0071304566,0.003051693,0.0033517783,0.0021228536,0.004457474
313,0.011073803,0.0040983534,0.004652857,0.004355487,0.0030223879
314,0.0055107456,0.004110878,0.0058747195,0.0042591416,0.005334782
315,0.0054743253,0.010255691,0.005402822,0.0027877074,0.0051324973
316,0.009089135,0.0052795894,0.004631478,0.002322891,0.00364184
317,0.00475381,0.0026547299,0.006837845,0.0032492685,0.0077369073
318,0.0054228147,0.005453837,0.0052147135,0.005423134,0.007707454
319,0.007958209,0.0027059815,0.0033210567,0.007871299,0.0055920603
320,0.004034234,0.007828316,0.0075894617,0.0028408496,0.0041447678
321,0.0072052255,0.003897035,0.0069387676,0.0026998199,0.0106056165
322,0.0066560665,0.007776109,0.003777054,0.002928372,0.006181866
323,0.0067919977,0.0064654867,0.005808577,0.0054310537,0.013309948
324,0.007035954,0.0054288097,0.005419737,0.00438816,0.006327725
325,0.0062277024,0.006794886,0.00974169,0.0025402466,0.005156586
326,0.006957181,0.0027789737,0.0041097105,0.0043252464,0.0045175953
327,0.00537612,0.0050725862,0.005401533,0.00263291,0.0033408036
328,0.00820669,0.003411164,0.007314327,0.00524782,0.0038337884
329,0.0057356507,0.006732552,0.0038715033,0.005090783,0.004393186
330,0.0056252694,0.0032463376,0.0047858404,0.004382636,0.0055491016
331,0.0049106935,0.005441659,0.006235594,0.0029149554,0.0046451315
332,0.0020657484,0.00590909,0.0049560135,0.002420917,0.006686655
333,0.003942506,0.003102408,0.0044647176,0.0032959953,0.0038960932
334,0.0021622772,0.0043918043,0.003968185,0.004946268,0.010834198
335,0.007082786,0.005062954,0.0035017247,0.0071192924,0.010943781
336,0.0056546414,0.0075693326,0.007042026,0.0034594482,0.0063212067
337,0.0043487097,0.007217341,0.007083934,0.0047144294,0.004670142
338,0.008297196,0.005506147,0.0063779997,0.0038993286,0.0024558115
339,0.0032758117,0.0038903016,0.0038106295,0.004739876,0.006460364
340,0.004608133,0.00767906,0.009586586,0.0051953434,0.0044875797
341,0.005671003,0.005553674,0.0061562425,0.0042157634,0.0046024797
