step,td_loss_agent0
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31,17.36716
32,14.590939
33,12.913424
34,12.864484
35,10.1530285
36,12.321895
37,10.657261
38,8.307636
39,9.374022
40,7.458869
41,6.454862
42,6.5180635
43,7.27072
44,6.126419
45,6.191518
46,4.928776
47,5.030136
48,5.840289
49,4.6717544
50,2.9800448
51,4.390381
52,3.8956423
53,3.8255548
54,3.4714127
55,2.8367984
56,2.349934
57,2.830414
58,2.547463
59,2.7844534
60,1.8837067
61,1.3338817
62,2.2332528
63,2.298351
64,2.0530767
65,1.5138962
66,1.6914982
67,1.6943071
68,1.7206465
69,1.2825704
70,1.3599448
71,1.8747554
72,1.0437305
73,1.2913858
74,1.1305373
75,0.71980906
76,0.89880395
77,0.66982794
78,1.4898958
79,0.90382755
80,0.56474423
81,0.2142818
82,1.2500198
83,1.2103143
84,0.7447299
85,1.2567838
86,1.0479121
87,0.9549328
88,1.5403702
89,1.4522796
90,1.0409979
91,0.87594634
92,2.0352676
93,1.1149207
94,1.9418858
95,0.55186033
96,0.7730474
97,0.4275565
98,2.1380303
99,0.75819254
100,1.1659068
101,1.6834269
102,0.8772593
103,1.3553731
104,0.8931031
105,0.66796935
106,1.4615259
107,1.587552
108,1.4660416
109,0.5213583
110,1.5490973
111,1.5602129
112,0.9953875
113,0.8191432
114,0.7395337
115,2.377025
116,0.8672021
117,1.5154765
118,1.5522549
119,2.156264
120,1.6846678
121,1.1530575
122,0.7240381
123,1.5648046
124,0.9366274
125,1.5438884
126,0.772974
127,1.0631315
128,0.7019777
129,1.247788
130,0.74754804
131,1.170855
132,0.41531864
133,1.1583564
134,0.9508047
135,0.60656977
136,0.6267791
137,0.8339355
138,0.83970267
139,0.51172453
140,0.21098992
141,0.9371439
142,1.444016
143,0.74830747
144,0.3200642
145,0.6918121
146,1.243274
147,0.75308466
148,0.91810834
149,0.7708244
150,1.2880206
151,0.35980684
152,1.1335516
153,0.35672295
154,1.0369109
155,1.0504069
156,0.49791783
157,0.6610314
158,0.68372804
159,0.917369
160,0.42855632
161,0.35028708
162,0.6537132
163,0.6990848
164,0.49391547
165,0.38456675
166,0.49174115
167,0.96549976
168,1.1673667
169,0.58181846
170,1.0007747
171,0.65090936
172,0.5231885
173,0.43261427
174,0.37089348
175,0.5072107
176,0.4357552
177,0.30832875
178,0.656966
179,0.40957862
180,0.33962494
181,0.24831226
182,0.31162032
183,0.3246584
184,0.23050399
185,0.5474267
186,0.48457614
187,0.29749128
188,0.1867397
189,0.15913911
190,0.091430575
191,0.15610646
192,0.07997288
193,0.14113982
194,0.09863257
195,0.16456664
196,0.10650346
197,0.13916638
198,0.12355803
199,0.1283877
200,0.16759372
201,0.036600143
202,0.07843228
203,0.09642311
204,0.15774809
205,0.05940166
