episode,total_reward,total_return
0,44.20267289225012,1742.4866355387494
1,50.302251069340855,1711.9887446532957
2,54.35974097950384,1691.7012951024808
3,64.12592320796102,1642.8703839601949
4,71.9301084857434,1603.849457571283
5,74.30342909507453,1591.9828545246273
6,76.53060041554272,1580.8469979222864
7,94.58956787036732,1490.5521606481634
8,104.679313310422,1440.10343344789
9,107.77082906104624,1424.6458546947688
10,119.48859786521643,1366.0570106739178
11,126.50547515694052,1330.9726242152974
12,117.9315749341622,1373.842125329189
13,126.66843174397945,1330.1578412801027
14,119.01245092228055,1368.4377453885972
15,125.42811492038891,1336.3594253980555
16,129.2483034497127,1317.2584827514365
17,131.30954100517556,1306.9522949741222
18,127.83535823598504,1324.3232088200748
19,140.51897193072364,1260.9051403463818
20,134.1961227953434,1292.519386023283
21,125.34703123802319,1336.764843809884
22,133.5206068744883,1295.8969656275585
23,140.15137835685164,1262.7431082157418
24,137.79016485624015,1274.5491757187992
25,144.55354811623693,1240.7322594188154
26,146.68961148615927,1230.0519425692037
27,148.0331111839041,1223.3344440804794
28,145.5935980770737,1235.5320096146315
29,151.4383240044117,1206.3083799779415
30,132.11033215047792,1302.9483392476104
31,164.79747668514028,1139.5126165742986
32,157.8019705656916,1174.490147171542
33,154.0793797094375,1193.1031014528126
34,162.10939324926585,1152.9530337536708
35,149.23869599448517,1217.3065200275742
36,159.17573977820575,1167.6213011089712
37,160.71308388747275,1159.9345805626363
38,157.56066149380058,1175.696692530997
39,148.55134520027786,1220.7432739986107
40,163.02836641669273,1148.3581679165363
41,158.95614708121866,1168.7192645939067
42,161.55019805021584,1155.7490097489208
43,168.16563556157053,1122.6718221921474
44,168.119388400577,1122.903057997115
45,168.87093560956419,1119.145321952179
46,166.79254581872374,1129.5372709063813
47,163.48288662917912,1146.0855668541044
48,166.5513753350824,1130.743123324588
49,173.56615235097706,1095.6692382451147
50,172.86180844157934,1099.1909577921033
51,170.158770727925,1112.706146360375
52,168.56650705169886,1120.6674647415057
53,165.63974934676662,1135.301253266167
54,178.6311445310712,1070.344277344644
55,178.1783786956221,1072.6081065218896
56,179.9729666672647,1063.6351666636765
57,176.25749225262552,1082.2125387368724
58,175.67779687792063,1085.1110156103969
59,174.88622470386326,1089.0688764806837
60,177.13815981335938,1077.809200933203
61,169.2833677744493,1117.0831611277536
62,180.3442735457793,1061.7786322711036
63,179.26227543503046,1067.1886228248477
64,176.526566689834,1080.86716655083
65,170.20485426858068,1112.4757286570966
66,182.76382775325328,1049.6808612337336
67,184.91878906451166,1038.9060546774417
68,167.08969655446708,1128.0515172276646
69,180.5767509173602,1060.616245413199
70,185.8370235459879,1034.3148822700605
71,185.36135500110686,1036.6932249944657
72,177.19846099056304,1077.5076950471848
73,182.88828061707318,1049.058596914634
74,176.19179893098772,1082.5410053450614
75,180.46627016179264,1061.1686491910368
76,182.7311778049916,1049.844110975042
77,189.03491366654634,1018.3254316672683
78,177.7212062133476,1074.893968933262
79,183.24291822966188,1047.2854088516906
80,181.42978849448264,1056.3510575275868
81,185.14691472798586,1037.7654263600707
82,182.2948522279039,1052.0257388604805
83,185.37214342784137,1036.6392828607932
84,183.83293241960928,1044.3353379019536
85,182.29828768363222,1052.0085615818389
86,186.39766940660775,1031.5116529669613
87,184.96220181137323,1038.6889909431338
88,183.31609702389687,1046.9195148805156
89,181.2855624295771,1057.0721878521144
90,186.99356906395406,1028.5321546802297
91,182.04379101097584,1053.2810449451208
92,184.152199764736,1042.73900117632
93,191.6528720362112,1005.235639818944
94,182.46360259968787,1051.1819870015606
95,187.25524196214974,1027.2237901892513
96,187.10137266479433,1027.9931366760284
97,190.20703232102096,1012.4648383948952
98,189.78679132368416,1014.5660433815792
99,196.10244863666594,982.9877568166703
