step,td_loss_agent0,td_loss_agent1,td_loss_agent2,td_loss_agent3,td_loss_agent4
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31,21.84026,19.601082,16.583633,18.644224,20.98009
32,19.188883,17.372559,14.347197,16.499458,18.047039
33,16.84423,13.908411,12.683645,13.081472,14.310314
34,17.02359,13.84787,12.17443,13.985857,13.788846
35,15.19294,13.840513,9.063852,11.895428,13.022921
36,15.880737,13.579285,10.198781,13.421236,12.537813
37,13.094288,12.120157,8.196155,9.91383,13.216417
38,11.1830015,10.801239,7.400164,9.998556,10.587582
39,11.507355,9.935245,7.4180307,8.905102,9.701137
40,9.274572,8.9586525,6.646878,6.172351,8.223713
41,9.5270605,7.5320387,4.310423,7.18797,9.408188
42,7.7231817,8.622017,4.773643,5.9002743,9.2311735
43,6.8887796,8.266781,3.6801138,5.6179605,7.938609
44,6.654196,5.335045,4.8347454,6.1974077,8.119629
45,6.056883,6.0885878,3.5018172,4.0051355,8.2938595
46,4.611203,6.909213,4.2049036,5.433775,8.180826
47,5.829271,4.216215,3.216659,6.6456823,4.516367
48,4.6637683,5.0590196,4.818304,5.4336376,6.243164
49,5.1957684,3.3295772,3.9759753,4.0587583,6.5130863
50,4.8473816,4.1559196,2.9205468,5.1691947,3.649864
51,2.948357,5.4661417,3.9177856,3.5597653,3.0542607
52,4.9043193,4.369768,3.3998399,4.6673074,4.094549
53,4.534194,4.0963106,3.3459492,3.1530318,5.498335
54,5.66362,2.124053,2.350593,6.1361465,5.025118
55,4.561981,4.722326,3.2328212,3.94567,4.060402
56,3.8568463,3.5775127,1.278775,3.450515,5.010228
57,4.939453,3.3310716,1.900062,3.3714485,4.0388885
58,3.4718766,4.979121,2.87237,3.8500094,3.3938355
59,2.3384728,3.9962344,2.5401592,4.7718925,3.3796475
60,2.861226,4.3461924,2.8705974,4.474904,4.437545
61,2.647753,2.18252,2.8823514,4.19547,4.560583
62,2.8688998,3.3985395,3.75481,2.1219823,2.9716353
63,1.6765203,1.9921039,1.6003704,2.9888263,3.4490938
64,2.2805078,2.2801318,2.6481452,1.9067011,3.5815187
65,1.9985111,3.3625598,2.48098,4.631218,3.1511102
66,2.2979412,3.8469973,1.8336048,2.8880377,2.5571423
67,3.2953334,3.1062574,2.8297062,3.3336575,2.3297276
68,2.4933176,2.7580519,2.5821812,2.7490072,2.0494652
69,2.3397012,2.4809723,1.4643648,2.8921466,3.5183055
70,1.575013,2.736228,2.7706926,2.174074,2.7514873
71,1.2661321,2.1280565,1.7755144,2.4918137,2.4546347
72,1.2767618,3.0079737,2.037806,3.3687048,1.7848123
73,2.8026438,1.429288,1.795397,2.754048,2.2056236
74,2.749759,1.9250447,2.1903276,2.807859,1.6852614
75,2.5781527,2.7167916,3.1873517,3.1473076,2.4561672
