episode,total_reward,total_return
0,60.53971643745899,2325.121984937787
1,62.92233503982425,2308.4436547212304
2,68.01749788224697,2272.7775148242713
3,84.70020734658465,2155.9985485739076
4,77.31780263222754,2207.6753815744073
5,96.97942790202796,2070.0440046858043
6,98.68052738066763,2058.1363083353267
7,102.59287011437118,2030.7499091994018
8,121.57326850900427,1897.8871204369702
9,126.32263118680567,1864.6415816923604
10,122.56606785021722,1890.9375250484795
11,131.57844759058207,1827.8508668659256
12,133.189498080872,1816.573513433896
13,137.2508195536211,1788.1442631246523
14,145.27211165055633,1731.9952184461058
15,148.18500828836113,1711.6049419814722
16,142.27547595091164,1752.9716683436186
17,157.34846805408597,1647.4607236213983
18,158.55533226858824,1639.0126741198824
19,160.69274181034416,1624.050807327591
20,170.4090824658051,1556.0364227393643
21,166.39514959510416,1584.133952834271
22,169.90709102991968,1559.5503627905623
23,170.1637260792777,1557.7539174450562
24,173.40505562722683,1535.0646106094123
25,179.5490898648277,1492.0563709462062
26,171.04140175320208,1551.6101877275855
27,184.53668485675007,1457.1432060027496
28,183.1264318972826,1467.014976719022
29,188.8310686443001,1427.0825194898994
30,195.1458655372262,1382.8789412394167
31,177.47068751323968,1506.6051874073223
32,191.2513606902212,1410.1404751684518
33,189.72157580312341,1420.8489693781362
34,188.49511253181845,1429.434212277271
35,188.76749292761087,1427.527549506724
36,189.8265305161476,1420.1142863869668
37,198.97754753939807,1356.0571672242136
38,195.66824249364436,1379.2223025444896
39,190.54324245266616,1415.097302831337
40,199.5109894964844,1352.3230735246093
41,190.97800282156095,1412.0539802490734
42,193.6747339409776,1393.1768624131569
43,196.57711356226355,1372.8602050641553
44,199.9888084139675,1348.9783411022277
45,190.28594881668687,1416.898358283192
46,199.5495085688308,1352.0534400181846
47,193.1307637374848,1396.9846538376064
48,204.50179909169674,1317.387406358123
49,208.5131160262972,1289.3081878159196
50,202.0880407029763,1334.283715079166
51,205.4329273039475,1310.8695088723675
52,194.53679863736033,1387.1424095384778
53,198.29637695197016,1360.825361336209
54,204.68370829708874,1316.114041920379
55,201.17330499365926,1340.6868650443853
56,207.77689888235182,1294.4617078235374
57,211.2056696061045,1270.4603127572686
58,192.8405427839607,1399.0162005122752
59,211.00839309953153,1271.8412483032794
60,207.65071928873658,1295.344964978844
61,205.93737110868096,1307.3384022392333
62,210.60060340352356,1274.6957761753351
63,214.27158819139004,1248.9988826602698
64,196.77732206974179,1371.4587455118076
65,207.65352666936815,1295.325313314423
66,209.31278921943158,1283.710475463979
67,210.8778670579195,1272.7549305945636
68,203.02991194091737,1327.6906164135785
69,218.91863873880357,1216.4695288283751
70,206.2105996166356,1305.425802683551
71,211.74323480110615,1266.697356392257
72,209.634689389728,1281.457174271904
73,210.42048492841423,1275.9566055011005
74,204.91853163205087,1314.470278575644
75,207.23794739786536,1298.2343682149426
76,209.2295163217932,1284.2933857474477
77,213.30786557681859,1255.74494096227
78,211.10063249059021,1271.1955725658686
79,214.49138125684112,1247.4603312021122
80,213.6309258909896,1253.4835187630729
81,209.083022614941,1285.318841695413
82,216.4398155566305,1233.8212911035866
83,216.25011886656284,1235.1491679340602
84,216.7526520928368,1231.6314353501425
85,202.48476340807974,1331.506656143442
86,206.90019286423922,1300.5986499503256
87,204.19049568474293,1319.5665302067996
88,202.89876076299697,1328.6086746590213
89,219.27816292829812,1213.9528595019133
90,216.9530820120126,1230.2284259159119
91,208.2844921220094,1290.9085551459343
92,206.48918826226145,1303.47568216417
93,219.35190428607166,1213.4366699974985
94,208.3112341221422,1290.7213611450047
95,214.16123717278242,1249.7713397905231
96,210.84670919459313,1272.9730356378482
97,214.88365519791842,1244.7144136145712
98,212.5132493954152,1261.3072542320938
99,210.84915020130575,1272.9559485908599
