step,td_loss_agent0
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31,18.976488
32,14.9581785
33,14.279376
34,15.095566
35,12.714272
36,9.284647
37,10.327835
38,10.6728
39,7.5152264
40,7.65403
41,6.943863
42,5.6554327
43,5.176557
44,6.7860875
45,5.7220783
46,4.727297
47,4.371315
48,3.8262248
49,3.9915342
50,3.7150955
51,3.3259773
52,3.7520127
53,3.5016818
54,2.7545
55,1.438115
56,1.6262224
57,1.6781762
58,1.6040621
59,1.190136
60,1.6697329
61,1.1547654
62,1.4450257
63,1.6832619
64,1.5352284
65,2.0502417
66,1.5656371
67,1.3663332
68,1.7138457
69,0.501607
70,1.03334
71,1.3899819
72,1.5093651
73,1.9189502
74,1.1106136
75,0.448137
76,1.6549938
77,1.4680779
78,1.2148502
79,0.7414204
80,2.0541873
81,1.526881
82,1.037928
83,1.1127133
84,1.9908158
85,2.3177419
86,1.1147838
87,1.2829566
88,2.0977569
89,1.0334382
90,0.5827862
91,1.8800682
92,1.6373618
93,0.8617283
94,1.6632524
95,1.7179482
96,2.3511322
97,2.8242803
98,1.7377595
99,2.6350582
100,2.9967222
101,2.2147796
102,0.83210254
103,1.4521745
104,2.2992017
105,1.7971495
106,1.7507493
107,1.496224
108,1.8588934
109,1.2108296
110,1.9851017
111,0.86490923
112,1.3774887
113,1.3688422
114,1.0572581
115,0.8340927
116,0.7456697
117,1.0394552
118,0.8889502
119,1.725691
120,1.6144844
121,1.6001587
122,0.7531718
123,1.3936342
124,1.0822257
125,1.246653
126,1.3578968
127,0.81905234
128,0.8944572
129,0.7474013
130,1.0499034
131,0.46336448
132,1.070205
133,0.8622062
134,0.7587166
135,1.4190674
136,1.3854523
137,0.8084254
138,0.71176237
139,1.2989774
140,1.2728391
141,0.7542912
142,0.41304904
143,1.2984428
144,1.107745
145,1.1638477
146,0.4872175
147,0.9428732
148,1.2616394
149,1.482923
150,0.3937195
151,0.7897848
152,0.91673946
153,0.9210283
154,0.7052946
155,0.4977755
156,0.4116632
157,0.42136437
158,0.94698757
159,0.30521244
160,0.79063326
161,1.2184018
162,0.40750042
163,0.8671396
164,0.8347424
165,0.45967367
166,0.44534677
167,0.8939898
168,0.5704477
169,1.2966138
170,0.56071293
171,0.6136805
172,0.7909864
173,0.8596351
174,0.6604004
175,0.58092755
176,0.6423266
177,0.51379824
178,0.6550063
179,0.6225982
180,0.5053338
181,0.4061998
182,0.30789307
183,0.3411687
184,0.3898815
185,0.2719098
186,0.25228626
187,0.23433787
188,0.2726007
189,0.22574235
190,0.12614107
191,0.14565115
192,0.14168991
193,0.25034186
194,0.21005929
195,0.16668905
196,0.15711689
197,0.08254872
198,0.113663465
199,0.14189248
200,0.14548033
201,0.11067712
202,0.1655106
203,0.10436021
204,0.17394078
