episode,total_reward,total_return
0,18.37137301173061,374.3286269882694
1,18.982645847368985,373.717354152631
2,21.81433359347284,370.88566640652715
3,27.742102918215096,364.9578970817849
4,26.0011390238069,366.6988609761931
5,30.917339019244537,361.78266098075545
6,42.539488225243986,350.160511774756
7,49.07082451786846,343.62917548213153
8,53.128862177953124,339.57113782204686
9,61.24674605857581,331.4532539414242
10,63.29178080288693,329.40821919711306
11,67.1362515958026,325.5637484041974
12,77.73235598625615,314.96764401374384
13,87.1957645425573,305.5042354574427
14,80.66006080526859,312.0399391947314
15,79.22276478027925,313.47723521972074
16,93.56051232200116,299.13948767799883
17,85.61723618023098,307.082763819769
18,86.3802485507913,306.3197514492087
19,100.04735693661496,292.652643063385
20,90.68874236475676,302.0112576352432
21,85.73433572985232,306.96566427014767
22,93.32647906290367,299.3735209370963
23,98.68574365228415,294.01425634771584
24,99.7472711680457,292.9527288319543
25,98.68019249103963,294.01980750896035
26,101.43234755052254,291.26765244947745
27,103.71733456803486,288.98266543196513
28,102.74611578509212,289.9538842149079
29,103.5261113839224,289.1738886160776
30,110.39329703664407,282.3067029633559
31,109.95579743525013,282.74420256474986
32,115.58455567015335,277.11544432984664
33,132.5050726654008,260.1949273345992
34,128.4547611484304,264.2452388515696
35,120.344861949794,272.355138050206
36,123.31141813471913,269.38858186528086
37,123.5022050072439,269.1977949927561
38,123.40249068615958,269.2975093138404
39,125.1112866695039,267.5887133304961
40,124.51655784109607,268.1834421589039
41,120.37664386210963,272.32335613789036
42,127.54723014170304,265.15276985829695
43,125.93546119751409,266.7645388024859
44,125.48666284885257,267.2133371511474
45,125.546169383917,267.153830616083
46,119.30081940907985,273.39918059092014
47,128.05029455712065,264.64970544287934
48,129.6755039501004,263.0244960498996
49,128.95764930918813,263.74235069081186
50,129.3039417625405,263.3960582374595
51,127.6884751683101,265.0115248316899
52,126.60434122104198,266.095658778958
53,131.6554287392646,261.0445712607354
54,127.21837555477396,265.48162444522603
55,131.0933056664653,261.6066943335347
56,129.6717497096397,263.0282502903603
57,128.25991479074582,264.44008520925416
58,127.98692943202332,264.7130705679767
59,127.90233079669997,264.7976692033
60,131.51881884923205,261.18118115076794
61,122.9183893580921,269.7816106419079
62,128.50469753006473,264.19530246993526
63,129.18074894603342,263.51925105396657
64,130.76652348181233,261.93347651818766
65,130.69023758592084,262.00976241407915
66,136.44391726888716,256.2560827311128
67,130.7685601064004,261.9314398935996
68,130.98425839934498,261.715741600655
69,134.6889824355021,258.0110175644979
70,131.2481056372635,261.4518943627365
71,135.7343114539981,256.9656885460019
72,135.16560437204316,257.5343956279568
73,139.50012171454728,253.1998782854527
74,133.33383446512744,259.36616553487255
75,133.46046792948619,259.2395320705138
76,135.47745452588424,257.22254547411575
77,136.12980878120288,256.5701912187971
78,132.74335378361866,259.95664621638133
79,133.58582425350323,259.11417574649676
80,134.5789721594192,258.1210278405808
81,133.2457450781949,259.4542549218051
82,134.01485310215503,258.68514689784496
83,134.68783757230267,258.0121624276973
84,134.0433136629872,258.6566863370128
85,127.64398738881573,265.05601261118426
86,135.28724515996873,257.41275484003125
87,135.4713342715986,257.2286657284014
88,132.7900714604184,259.9099285395816
89,131.74115332076326,260.95884667923673
90,137.05816166475415,255.64183833524584
91,132.43792219320312,260.26207780679687
92,136.5093732997775,256.1906267002225
93,136.45045750169083,256.24954249830915
94,135.41084874700755,257.28915125299244
95,145.37978003220633,247.32021996779366
96,141.86767035303637,250.83232964696361
97,143.86181466979906,248.83818533020093
98,142.42841528262943,250.27158471737056
99,137.1148879416287,255.5851120583713
