episode,total_reward,total_return
0,18.260338694788516,374.4396613052115
1,23.10126744583249,369.5987325541675
2,26.368561185430735,366.33143881456925
3,30.22811273764819,362.4718872623518
4,39.048781738150865,353.6512182618491
5,45.26836379989982,347.4316362001002
6,53.516505634645,339.183494365355
7,57.7187213008292,334.9812786991708
8,63.322033658158034,329.37796634184195
9,70.20762124890462,322.4923787510954
10,82.19599098013714,310.50400901986285
11,89.15619185520336,303.5438081447966
12,83.47969472687691,309.2203052731231
13,91.26548589020967,301.4345141097903
14,93.35529504762962,299.34470495237036
15,90.43647265480831,302.2635273451917
16,94.26368636544794,298.43631363455205
17,97.32015991397202,295.37984008602797
18,94.93651453196071,297.7634854680393
19,101.2980830129236,291.4019169870764
20,100.55248449137434,292.14751550862564
21,97.9895426495932,294.7104573504068
22,99.91574031952769,292.7842596804723
23,103.19316344847903,289.50683655152096
24,100.9472029786557,291.7527970213443
25,102.43427914427593,290.26572085572406
26,101.61488739959896,291.08511260040103
27,105.13189697777852,287.56810302222146
28,103.12962642358616,289.57037357641383
29,102.0768053107895,290.6231946892105
30,105.80679258424789,286.8932074157521
31,103.42211724678054,289.27788275321944
32,102.31454842351377,290.3854515764862
33,102.8380293189548,289.8619706810452
34,102.78934612125158,289.9106538787484
35,104.65210827626288,288.0478917237371
36,103.58018427202478,289.1198157279752
37,112.09286835044622,280.60713164955376
38,104.12477165041491,288.5752283495851
39,105.6342661739327,287.0657338260673
40,103.51740654557943,289.18259345442056
41,107.05381951713935,285.64618048286064
42,110.20160528784618,282.4983947121538
43,103.74828555993736,288.95171444006263
44,101.9921451555565,290.7078548444435
45,104.34313800698146,288.3568619930185
46,104.29670257912949,288.4032974208705
47,106.30169558292255,286.39830441707744
48,107.63623042125255,285.06376957874744
49,114.6408621314913,278.0591378685087
50,114.01246032165363,278.68753967834635
51,112.64683282095939,280.0531671790406
52,104.56960568390787,288.1303943160921
53,113.83109731413424,278.86890268586575
54,113.03461797023192,279.66538202976807
55,119.36727445712313,273.33272554287686
56,122.08909991243854,270.61090008756145
57,127.17360336892307,265.5263966310769
58,125.43301017861813,267.26698982138186
59,126.93871964607388,265.7612803539261
60,129.5964897107333,263.1035102892667
61,124.35246429033577,268.3475357096642
62,128.41198222339153,264.28801777660846
63,126.20982814813033,266.49017185186966
64,127.52123652072623,265.17876347927375
65,127.473802998662,265.226197001338
66,127.49701217981055,265.20298782018943
67,123.45597862172872,269.24402137827127
68,116.73041207063943,275.96958792936056
69,135.49348553968593,257.20651446031405
70,129.78302030218765,262.91697969781234
71,136.08925860980526,256.61074139019473
72,129.37927228864282,263.32072771135716
73,124.9017701279372,267.7982298720628
74,125.98853753553703,266.71146246446295
75,126.82893392117694,265.87106607882305
76,135.77937828749418,256.9206217125058
77,135.94213765487075,256.75786234512924
78,129.9654031507671,262.7345968492329
79,136.0785948014818,256.6214051985182
80,135.36146842036396,257.338531579636
81,130.39537963084877,262.3046203691512
82,136.10432316735387,256.5956768326461
83,124.18946406571195,268.51053593428804
84,137.31577479979023,255.38422520020976
85,137.44764124974608,255.2523587502539
86,140.7361892363988,251.9638107636012
87,140.57482170080766,252.12517829919233
88,135.17007853277028,257.5299214672297
89,137.70772652095184,254.99227347904815
90,141.81721957074478,250.8827804292552
91,134.05890488391742,258.64109511608257
92,135.4572310782969,257.2427689217031
93,139.25556722981855,253.44443277018144
94,142.2367966179736,250.4632033820264
95,141.9427946684882,250.75720533151178
96,142.2389701991342,250.4610298008658
97,141.3420564448461,251.3579435551539
98,137.50770485261455,255.19229514738544
99,140.1762684378773,252.5237315621227
