step,td_loss_agent0
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31,23.952648
32,21.58112
33,19.26554
34,17.574905
35,14.32031
36,13.915748
37,15.150833
38,12.121595
39,9.402603
40,9.334576
41,8.416662
42,9.752817
43,10.603675
44,9.447891
45,7.229039
46,7.0377226
47,3.5755317
48,6.593414
49,7.5739813
50,4.2728257
51,5.0356727
52,5.5157313
53,4.1196523
54,4.1733346
55,3.0849893
56,3.0421743
57,2.7208114
58,4.6334853
59,2.7061868
60,2.8511817
61,2.5364766
62,2.9785347
63,3.4369743
64,3.634599
65,3.1066365
66,2.3016381
67,4.267012
68,2.6758595
69,1.9006212
70,2.4953322
71,2.53302
72,3.198883
73,1.8327972
74,2.1287124
75,2.8548808
76,1.8694342
77,2.6280632
78,1.7006091
79,2.9257011
80,1.2295201
81,1.8245935
82,2.4584765
83,1.3144133
84,2.038275
85,1.6492102
86,1.2276882
87,1.7014594
88,0.8303355
89,0.79948056
90,0.992098
91,1.214175
92,1.6702042
93,2.107031
94,0.88773
95,0.6440315
96,1.5894372
97,1.3779807
98,1.8040175
99,0.49996936
100,1.5446492
101,0.6243975
102,0.8919414
103,2.276518
104,1.5827146
105,1.0139608
106,0.5476276
107,0.88251215
108,1.2435074
109,0.6627055
110,0.8156287
111,0.5033128
112,1.2846644
113,0.69679534
114,1.3614258
115,0.85121685
116,0.76397306
117,0.89135766
118,1.2069483
119,1.1008824
120,1.0179632
121,0.70862234
122,0.68274266
123,1.5144064
124,0.43081897
125,0.9377763
126,1.17519
127,1.0916692
128,1.2092538
129,1.2298478
130,0.39528114
131,0.40129066
132,0.6486131
133,0.6121339
134,0.8744606
135,1.0775462
136,0.5415314
137,0.6189041
138,0.86870843
139,0.7188038
140,0.6876509
141,0.82283795
142,0.5659212
143,0.8393668
144,0.52991974
145,0.64792407
146,0.5550637
147,0.27370197
148,0.41734365
149,0.52373034
150,0.34061748
151,0.34587413
152,0.25726512
153,0.260016
154,0.3983317
155,0.33870697
156,0.39960372
157,0.1961549
158,0.46708345
159,0.45244026
160,0.2507852
161,0.16605543
162,0.18353352
163,0.14729871
164,0.13844061
165,0.14861721
166,0.1309567
167,0.13243595
168,0.07432686
169,0.1785721
170,0.07074687
171,0.06658022
172,0.05139629
173,0.052819178
174,0.044493943
175,0.044377267
176,0.035030458
177,0.03710573
178,0.019960769
179,0.022108043
180,0.020455103
181,0.011550856
182,0.007936152
183,0.0076963943
184,0.0054323613
185,0.0050003566
186,0.004506099
187,0.005171882
188,0.0042827222
189,0.0039224527
190,0.0020813723
191,0.0022075428
192,0.0024227751
193,0.0021733674
194,0.0022100718
195,0.0013841065
196,0.0023131054
197,0.001005327
198,0.0014072902
199,0.0028975275
200,0.001852803
201,0.0014860316
202,0.0018102546
